reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-03-23,wk inc flu hosp,0,2024-03-23,01,quantile,0.01,35
2024-03-23,wk inc flu hosp,0,2024-03-23,01,quantile,0.025,39
2024-03-23,wk inc flu hosp,0,2024-03-23,01,quantile,0.05,43
2024-03-23,wk inc flu hosp,0,2024-03-23,01,quantile,0.1,48
2024-03-23,wk inc flu hosp,0,2024-03-23,01,quantile,0.15,53
2024-03-23,wk inc flu hosp,0,2024-03-23,01,quantile,0.2,57
2024-03-23,wk inc flu hosp,0,2024-03-23,01,quantile,0.25,60
2024-03-23,wk inc flu hosp,0,2024-03-23,01,quantile,0.3,63
2024-03-23,wk inc flu hosp,0,2024-03-23,01,quantile,0.35,66
2024-03-23,wk inc flu hosp,0,2024-03-23,01,quantile,0.4,68
2024-03-23,wk inc flu hosp,0,2024-03-23,01,quantile,0.45,71
2024-03-23,wk inc flu hosp,0,2024-03-23,01,quantile,0.5,74
2024-03-23,wk inc flu hosp,0,2024-03-23,01,quantile,0.55,77
2024-03-23,wk inc flu hosp,0,2024-03-23,01,quantile,0.6,80
2024-03-23,wk inc flu hosp,0,2024-03-23,01,quantile,0.65,84
2024-03-23,wk inc flu hosp,0,2024-03-23,01,quantile,0.7,87
2024-03-23,wk inc flu hosp,0,2024-03-23,01,quantile,0.75,92
2024-03-23,wk inc flu hosp,0,2024-03-23,01,quantile,0.8,96
2024-03-23,wk inc flu hosp,0,2024-03-23,01,quantile,0.85,102
2024-03-23,wk inc flu hosp,0,2024-03-23,01,quantile,0.9,111
2024-03-23,wk inc flu hosp,0,2024-03-23,01,quantile,0.95,127
2024-03-23,wk inc flu hosp,0,2024-03-23,01,quantile,0.975,140
2024-03-23,wk inc flu hosp,0,2024-03-23,01,quantile,0.99,158
2024-03-23,wk inc flu hosp,1,2024-03-30,01,quantile,0.01,27
2024-03-23,wk inc flu hosp,1,2024-03-30,01,quantile,0.025,32
2024-03-23,wk inc flu hosp,1,2024-03-30,01,quantile,0.05,36
2024-03-23,wk inc flu hosp,1,2024-03-30,01,quantile,0.1,43
2024-03-23,wk inc flu hosp,1,2024-03-30,01,quantile,0.15,47
2024-03-23,wk inc flu hosp,1,2024-03-30,01,quantile,0.2,51
2024-03-23,wk inc flu hosp,1,2024-03-30,01,quantile,0.25,55
2024-03-23,wk inc flu hosp,1,2024-03-30,01,quantile,0.3,58
2024-03-23,wk inc flu hosp,1,2024-03-30,01,quantile,0.35,61
2024-03-23,wk inc flu hosp,1,2024-03-30,01,quantile,0.4,65
2024-03-23,wk inc flu hosp,1,2024-03-30,01,quantile,0.45,70
2024-03-23,wk inc flu hosp,1,2024-03-30,01,quantile,0.5,73
2024-03-23,wk inc flu hosp,1,2024-03-30,01,quantile,0.55,77
2024-03-23,wk inc flu hosp,1,2024-03-30,01,quantile,0.6,82
2024-03-23,wk inc flu hosp,1,2024-03-30,01,quantile,0.65,88
2024-03-23,wk inc flu hosp,1,2024-03-30,01,quantile,0.7,93
2024-03-23,wk inc flu hosp,1,2024-03-30,01,quantile,0.75,99
2024-03-23,wk inc flu hosp,1,2024-03-30,01,quantile,0.8,106
2024-03-23,wk inc flu hosp,1,2024-03-30,01,quantile,0.85,115
2024-03-23,wk inc flu hosp,1,2024-03-30,01,quantile,0.9,128
2024-03-23,wk inc flu hosp,1,2024-03-30,01,quantile,0.95,153
2024-03-23,wk inc flu hosp,1,2024-03-30,01,quantile,0.975,173
2024-03-23,wk inc flu hosp,1,2024-03-30,01,quantile,0.99,203
2024-03-23,wk inc flu hosp,2,2024-04-06,01,quantile,0.01,18
2024-03-23,wk inc flu hosp,2,2024-04-06,01,quantile,0.025,23
2024-03-23,wk inc flu hosp,2,2024-04-06,01,quantile,0.05,28
2024-03-23,wk inc flu hosp,2,2024-04-06,01,quantile,0.1,36
2024-03-23,wk inc flu hosp,2,2024-04-06,01,quantile,0.15,41
2024-03-23,wk inc flu hosp,2,2024-04-06,01,quantile,0.2,45
2024-03-23,wk inc flu hosp,2,2024-04-06,01,quantile,0.25,49
2024-03-23,wk inc flu hosp,2,2024-04-06,01,quantile,0.3,53
2024-03-23,wk inc flu hosp,2,2024-04-06,01,quantile,0.35,58
2024-03-23,wk inc flu hosp,2,2024-04-06,01,quantile,0.4,62
2024-03-23,wk inc flu hosp,2,2024-04-06,01,quantile,0.45,66
2024-03-23,wk inc flu hosp,2,2024-04-06,01,quantile,0.5,71
2024-03-23,wk inc flu hosp,2,2024-04-06,01,quantile,0.55,74
2024-03-23,wk inc flu hosp,2,2024-04-06,01,quantile,0.6,79
2024-03-23,wk inc flu hosp,2,2024-04-06,01,quantile,0.65,84
2024-03-23,wk inc flu hosp,2,2024-04-06,01,quantile,0.7,90
2024-03-23,wk inc flu hosp,2,2024-04-06,01,quantile,0.75,97
2024-03-23,wk inc flu hosp,2,2024-04-06,01,quantile,0.8,103
2024-03-23,wk inc flu hosp,2,2024-04-06,01,quantile,0.85,113
