"as_of","target","target_end_date","location","horizon","output_type","output_type_id","oracle_value"
2026-07-08,"wk flu hosp rate change",2023-09-30,"01",0,"pmf","decrease",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"01",0,"pmf","increase",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"01",0,"pmf","large_decrease",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"01",0,"pmf","large_increase",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"01",0,"pmf","stable",1
2026-07-08,"wk flu hosp rate change",2023-09-30,"02",0,"pmf","decrease",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"02",0,"pmf","increase",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"02",0,"pmf","large_decrease",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"02",0,"pmf","large_increase",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"02",0,"pmf","stable",1
2026-07-08,"wk flu hosp rate change",2023-09-30,"04",0,"pmf","decrease",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"04",0,"pmf","increase",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"04",0,"pmf","large_decrease",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"04",0,"pmf","large_increase",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"04",0,"pmf","stable",1
2026-07-08,"wk flu hosp rate change",2023-09-30,"05",0,"pmf","decrease",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"05",0,"pmf","increase",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"05",0,"pmf","large_decrease",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"05",0,"pmf","large_increase",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"05",0,"pmf","stable",1
2026-07-08,"wk flu hosp rate change",2023-09-30,"06",0,"pmf","decrease",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"06",0,"pmf","increase",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"06",0,"pmf","large_decrease",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"06",0,"pmf","large_increase",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"06",0,"pmf","stable",1
2026-07-08,"wk flu hosp rate change",2023-09-30,"08",0,"pmf","decrease",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"08",0,"pmf","increase",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"08",0,"pmf","large_decrease",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"08",0,"pmf","large_increase",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"08",0,"pmf","stable",1
2026-07-08,"wk flu hosp rate change",2023-09-30,"09",0,"pmf","decrease",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"09",0,"pmf","increase",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"09",0,"pmf","large_decrease",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"09",0,"pmf","large_increase",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"09",0,"pmf","stable",1
2026-07-08,"wk flu hosp rate change",2023-09-30,"10",0,"pmf","decrease",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"10",0,"pmf","increase",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"10",0,"pmf","large_decrease",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"10",0,"pmf","large_increase",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"10",0,"pmf","stable",1
2026-07-08,"wk flu hosp rate change",2023-09-30,"11",0,"pmf","decrease",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"11",0,"pmf","increase",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"11",0,"pmf","large_decrease",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"11",0,"pmf","large_increase",0
2026-07-08,"wk flu hosp rate change",2023-09-30,"11",0,"pmf","stable",1
2026-07-08,"wk flu hosp rate change",2023-09-30,"12",0,"pmf","decrease",0
