"reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"02","pmf","large_increase",0.0104359469831737
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"01","pmf","large_increase",0.0035761713946092
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"05","pmf","large_increase",0.000682322550288439
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"04","pmf","large_increase",0.0542162745484955
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"06","pmf","large_increase",0.0420809784836105
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"08","pmf","large_increase",0.0191803729786566
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"09","pmf","large_increase",0.0121857413377775
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"11","pmf","large_increase",0.0495229250099951
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"10","pmf","large_increase",0.0493882682010842
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"12","pmf","large_increase",0.00815061019452967
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"13","pmf","large_increase",0.00360514823710634
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"15","pmf","large_increase",0.0313699895548389
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"19","pmf","large_increase",0.0208002471297219
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"16","pmf","large_increase",0.0126960233093777
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"17","pmf","large_increase",0.00620923651587757
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"18","pmf","large_increase",0.0735957016585466
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"20","pmf","large_increase",0.0690506708624458
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"21","pmf","large_increase",0.0663299979480554
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"22","pmf","large_increase",0.0561092535383809
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"25","pmf","large_increase",0.0134301466767469
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"24","pmf","large_increase",0.00351083914049832
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"23","pmf","large_increase",0.00058986993129051
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"26","pmf","large_increase",0.000134237718567021
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"27","pmf","large_increase",0.0473305852361423
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"29","pmf","large_increase",0.0640590148744052
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"28","pmf","large_increase",0.055437008945739
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"30","pmf","large_increase",0.0223895919164465
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"37","pmf","large_increase",0.00287757399003619
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"38","pmf","large_increase",1.43620173937986e-05
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"31","pmf","large_increase",4.44527100251779e-06
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"33","pmf","large_increase",3.38916786546406e-06
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"34","pmf","large_increase",0.0440245087763462
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"35","pmf","large_increase",0.0358456499008866
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"32","pmf","large_increase",0.0119769099705498
2024-02-10,0,"wk flu hosp rate change",2024-02-10,"36","pmf","large_increase",0.00590803672030249
