reference_date,target,horizon,target_end_date,location,output_type,output_type_id
2025-04-19,wk inc flu hosp,-1,2025-04-12,US,quantile,0.01
2025-04-19,wk inc flu hosp,-1,2025-04-12,US,quantile,0.025
2025-04-19,wk inc flu hosp,-1,2025-04-12,US,quantile,0.05
2025-04-19,wk inc flu hosp,-1,2025-04-12,US,quantile,0.1
2025-04-19,wk inc flu hosp,-1,2025-04-12,US,quantile,0.15
2025-04-19,wk inc flu hosp,-1,2025-04-12,US,quantile,0.2
2025-04-19,wk inc flu hosp,-1,2025-04-12,US,quantile,0.25
2025-04-19,wk inc flu hosp,-1,2025-04-12,US,quantile,0.3
2025-04-19,wk inc flu hosp,-1,2025-04-12,US,quantile,0.35
2025-04-19,wk inc flu hosp,-1,2025-04-12,US,quantile,0.4
2025-04-19,wk inc flu hosp,-1,2025-04-12,US,quantile,0.45
2025-04-19,wk inc flu hosp,-1,2025-04-12,US,quantile,0.5
2025-04-19,wk inc flu hosp,-1,2025-04-12,US,quantile,0.55
2025-04-19,wk inc flu hosp,-1,2025-04-12,US,quantile,0.6
2025-04-19,wk inc flu hosp,-1,2025-04-12,US,quantile,0.65
2025-04-19,wk inc flu hosp,-1,2025-04-12,US,quantile,0.7
2025-04-19,wk inc flu hosp,-1,2025-04-12,US,quantile,0.75
2025-04-19,wk inc flu hosp,-1,2025-04-12,US,quantile,0.8
2025-04-19,wk inc flu hosp,-1,2025-04-12,US,quantile,0.85
2025-04-19,wk inc flu hosp,-1,2025-04-12,US,quantile,0.9
2025-04-19,wk inc flu hosp,-1,2025-04-12,US,quantile,0.95
2025-04-19,wk inc flu hosp,-1,2025-04-12,US,quantile,0.975
2025-04-19,wk inc flu hosp,-1,2025-04-12,US,quantile,0.99
2025-04-19,wk inc flu hosp,0,2025-04-19,US,quantile,0.01
2025-04-19,wk inc flu hosp,0,2025-04-19,US,quantile,0.025
2025-04-19,wk inc flu hosp,0,2025-04-19,US,quantile,0.05
2025-04-19,wk inc flu hosp,0,2025-04-19,US,quantile,0.1
2025-04-19,wk inc flu hosp,0,2025-04-19,US,quantile,0.15
2025-04-19,wk inc flu hosp,0,2025-04-19,US,quantile,0.2
2025-04-19,wk inc flu hosp,0,2025-04-19,US,quantile,0.25
2025-04-19,wk inc flu hosp,0,2025-04-19,US,quantile,0.3
2025-04-19,wk inc flu hosp,0,2025-04-19,US,quantile,0.35
2025-04-19,wk inc flu hosp,0,2025-04-19,US,quantile,0.4
2025-04-19,wk inc flu hosp,0,2025-04-19,US,quantile,0.45
2025-04-19,wk inc flu hosp,0,2025-04-19,US,quantile,0.5
2025-04-19,wk inc flu hosp,0,2025-04-19,US,quantile,0.55
2025-04-19,wk inc flu hosp,0,2025-04-19,US,quantile,0.6
2025-04-19,wk inc flu hosp,0,2025-04-19,US,quantile,0.65
2025-04-19,wk inc flu hosp,0,2025-04-19,US,quantile,0.7
2025-04-19,wk inc flu hosp,0,2025-04-19,US,quantile,0.75
2025-04-19,wk inc flu hosp,0,2025-04-19,US,quantile,0.8
2025-04-19,wk inc flu hosp,0,2025-04-19,US,quantile,0.85
2025-04-19,wk inc flu hosp,0,2025-04-19,US,quantile,0.9
2025-04-19,wk inc flu hosp,0,2025-04-19,US,quantile,0.95
2025-04-19,wk inc flu hosp,0,2025-04-19,US,quantile,0.975
2025-04-19,wk inc flu hosp,0,2025-04-19,US,quantile,0.99
2025-04-19,wk inc flu hosp,1,2025-04-26,US,quantile,0.01
2025-04-19,wk inc flu hosp,1,2025-04-26,US,quantile,0.025
2025-04-19,wk inc flu hosp,1,2025-04-26,US,quantile,0.05
2025-04-19,wk inc flu hosp,1,2025-04-26,US,quantile,0.1
2025-04-19,wk inc flu hosp,1,2025-04-26,US,quantile,0.15
2025-04-19,wk inc flu hosp,1,2025-04-26,US,quantile,0.2
2025-04-19,wk inc flu hosp,1,2025-04-26,US,quantile,0.25
2025-04-19,wk inc flu hosp,1,2025-04-26,US,quantile,0.3
2025-04-19,wk inc flu hosp,1,2025-04-26,US,quantile,0.35
2025-04-19,wk inc flu hosp,1,2025-04-26,US,quantile,0.4
2025-04-19,wk inc flu hosp,1,2025-04-26,US,quantile,0.45
2025-04-19,wk inc flu hosp,1,2025-04-26,US,quantile,0.5
2025-04-19,wk inc flu hosp,1,2025-04-26,US,quantile,0.55
2025-04-19,wk inc flu hosp,1,2025-04-26,US,quantile,0.6
2025-04-19,wk inc flu hosp,1,2025-04-26,US,quantile,0.65
2025-04-19,wk inc flu hosp,1,2025-04-26,US,quantile,0.7
2025-04-19,wk inc flu hosp,1,2025-04-26,US,quantile,0.75
2025-04-19,wk inc flu hosp,1,2025-04-26,US,quantile,0.8
2025-04-19,wk inc flu hosp,1,2025-04-26,US,quantile,0.85
2025-04-19,wk inc flu hosp,1,2025-04-26,US,quantile,0.9
2025-04-19,wk inc flu hosp,1,2025-04-26,US,quantile,0.95
2025-04-19,wk inc flu hosp,1,2025-04-26,US,quantile,0.975
2025-04-19,wk inc flu hosp,1,2025-04-26,US,quantile,0.99
2025-04-19,wk inc flu hosp,2,2025-05-03,US,quantile,0.01
2025-04-19,wk inc flu hosp,2,2025-05-03,US,quantile,0.025
2025-04-19,wk inc flu hosp,2,2025-05-03,US,quantile,0.05
2025-04-19,wk inc flu hosp,2,2025-05-03,US,quantile,0.1
2025-04-19,wk inc flu hosp,2,2025-05-03,US,quantile,0.15
2025-04-19,wk inc flu hosp,2,2025-05-03,US,quantile,0.2
2025-04-19,wk inc flu hosp,2,2025-05-03,US,quantile,0.25
2025-04-19,wk inc flu hosp,2,2025-05-03,US,quantile,0.3
2025-04-19,wk inc flu hosp,2,2025-05-03,US,quantile,0.35
2025-04-19,wk inc flu hosp,2,2025-05-03,US,quantile,0.4
2025-04-19,wk inc flu hosp,2,2025-05-03,US,quantile,0.45
2025-04-19,wk inc flu hosp,2,2025-05-03,US,quantile,0.5
2025-04-19,wk inc flu hosp,2,2025-05-03,US,quantile,0.55
2025-04-19,wk inc flu hosp,2,2025-05-03,US,quantile,0.6
2025-04-19,wk inc flu hosp,2,2025-05-03,US,quantile,0.65
2025-04-19,wk inc flu hosp,2,2025-05-03,US,quantile,0.7
2025-04-19,wk inc flu hosp,2,2025-05-03,US,quantile,0.75
2025-04-19,wk inc flu hosp,2,2025-05-03,US,quantile,0.8
2025-04-19,wk inc flu hosp,2,2025-05-03,US,quantile,0.85
2025-04-19,wk inc flu hosp,2,2025-05-03,US,quantile,0.9
2025-04-19,wk inc flu hosp,2,2025-05-03,US,quantile,0.95
2025-04-19,wk inc flu hosp,2,2025-05-03,US,quantile,0.975
2025-04-19,wk inc flu hosp,2,2025-05-03,US,quantile,0.99
2025-04-19,wk inc flu hosp,3,2025-05-10,US,quantile,0.01
2025-04-19,wk inc flu hosp,3,2025-05-10,US,quantile,0.025
2025-04-19,wk inc flu hosp,3,2025-05-10,US,quantile,0.05
2025-04-19,wk inc flu hosp,3,2025-05-10,US,quantile,0.1
2025-04-19,wk inc flu hosp,3,2025-05-10,US,quantile,0.15
2025-04-19,wk inc flu hosp,3,2025-05-10,US,quantile,0.2
2025-04-19,wk inc flu hosp,3,2025-05-10,US,quantile,0.25
2025-04-19,wk inc flu hosp,3,2025-05-10,US,quantile,0.3
2025-04-19,wk inc flu hosp,3,2025-05-10,US,quantile,0.35
2025-04-19,wk inc flu hosp,3,2025-05-10,US,quantile,0.4
2025-04-19,wk inc flu hosp,3,2025-05-10,US,quantile,0.45
2025-04-19,wk inc flu hosp,3,2025-05-10,US,quantile,0.5
2025-04-19,wk inc flu hosp,3,2025-05-10,US,quantile,0.55
2025-04-19,wk inc flu hosp,3,2025-05-10,US,quantile,0.6
2025-04-19,wk inc flu hosp,3,2025-05-10,US,quantile,0.65
2025-04-19,wk inc flu hosp,3,2025-05-10,US,quantile,0.7
2025-04-19,wk inc flu hosp,3,2025-05-10,US,quantile,0.75
2025-04-19,wk inc flu hosp,3,2025-05-10,US,quantile,0.8
2025-04-19,wk inc flu hosp,3,2025-05-10,US,quantile,0.85
2025-04-19,wk inc flu hosp,3,2025-05-10,US,quantile,0.9
2025-04-19,wk inc flu hosp,3,2025-05-10,US,quantile,0.95
2025-04-19,wk inc flu hosp,3,2025-05-10,US,quantile,0.975
2025-04-19,wk inc flu hosp,3,2025-05-10,US,quantile,0.99
2025-04-19,wk inc flu hosp,-1,2025-04-12,01,quantile,0.01
2025-04-19,wk inc flu hosp,-1,2025-04-12,01,quantile,0.025
2025-04-19,wk inc flu hosp,-1,2025-04-12,01,quantile,0.05
2025-04-19,wk inc flu hosp,-1,2025-04-12,01,quantile,0.1
2025-04-19,wk inc flu hosp,-1,2025-04-12,01,quantile,0.15
2025-04-19,wk inc flu hosp,-1,2025-04-12,01,quantile,0.2
2025-04-19,wk inc flu hosp,-1,2025-04-12,01,quantile,0.25
2025-04-19,wk inc flu hosp,-1,2025-04-12,01,quantile,0.3
2025-04-19,wk inc flu hosp,-1,2025-04-12,01,quantile,0.35
2025-04-19,wk inc flu hosp,-1,2025-04-12,01,quantile,0.4
2025-04-19,wk inc flu hosp,-1,2025-04-12,01,quantile,0.45
2025-04-19,wk inc flu hosp,-1,2025-04-12,01,quantile,0.5
2025-04-19,wk inc flu hosp,-1,2025-04-12,01,quantile,0.55
2025-04-19,wk inc flu hosp,-1,2025-04-12,01,quantile,0.6
2025-04-19,wk inc flu hosp,-1,2025-04-12,01,quantile,0.65
2025-04-19,wk inc flu hosp,-1,2025-04-12,01,quantile,0.7
2025-04-19,wk inc flu hosp,-1,2025-04-12,01,quantile,0.75
2025-04-19,wk inc flu hosp,-1,2025-04-12,01,quantile,0.8
2025-04-19,wk inc flu hosp,-1,2025-04-12,01,quantile,0.85
2025-04-19,wk inc flu hosp,-1,2025-04-12,01,quantile,0.9
2025-04-19,wk inc flu hosp,-1,2025-04-12,01,quantile,0.95
2025-04-19,wk inc flu hosp,-1,2025-04-12,01,quantile,0.975
2025-04-19,wk inc flu hosp,-1,2025-04-12,01,quantile,0.99
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.01
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.025
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.05
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.1
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.15
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.2
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.25
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.3
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.35
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.4
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.45
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.5
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.55
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.6
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.65
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.7
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.75
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.8
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.85
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.9
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.95
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.975
2025-04-19,wk inc flu hosp,0,2025-04-19,01,quantile,0.99
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.01
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.025
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.05
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.1
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.15
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.2
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.25
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.3
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.35
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.4
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.45
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.5
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.55
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.6
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.65
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.7
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.75
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.8
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.85
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.9
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.95
2025-04-19,wk inc flu hosp,1,2025-04-26,01,quantile,0.975
