"target","location","horizon","target_end_date","output_type_id","oracle_value"
"wk inc flu hosp","02",0,2024-11-02,NA,8
"wk inc flu hosp","02",1,2024-11-02,NA,8
"wk inc flu hosp","02",2,2024-11-02,NA,8
"wk inc flu hosp","02",3,2024-11-02,NA,8
"wk inc flu hosp","01",0,2024-11-02,NA,13
"wk inc flu hosp","01",1,2024-11-02,NA,13
"wk inc flu hosp","01",2,2024-11-02,NA,13
"wk inc flu hosp","01",3,2024-11-02,NA,13
"wk inc flu hosp","05",0,2024-11-02,NA,6
"wk inc flu hosp","05",1,2024-11-02,NA,6
"wk inc flu hosp","05",2,2024-11-02,NA,6
"wk inc flu hosp","05",3,2024-11-02,NA,6
"wk inc flu hosp","04",0,2024-11-02,NA,129
"wk inc flu hosp","04",1,2024-11-02,NA,129
"wk inc flu hosp","04",2,2024-11-02,NA,129
"wk inc flu hosp","04",3,2024-11-02,NA,129
"wk inc flu hosp","06",0,2024-11-02,NA,110
"wk inc flu hosp","06",1,2024-11-02,NA,110
"wk inc flu hosp","06",2,2024-11-02,NA,110
"wk inc flu hosp","06",3,2024-11-02,NA,110
"wk inc flu hosp","08",0,2024-11-02,NA,25
"wk inc flu hosp","08",1,2024-11-02,NA,25
"wk inc flu hosp","08",2,2024-11-02,NA,25
"wk inc flu hosp","08",3,2024-11-02,NA,25
"wk inc flu hosp","09",0,2024-11-02,NA,10
"wk inc flu hosp","09",1,2024-11-02,NA,10
"wk inc flu hosp","09",2,2024-11-02,NA,10
"wk inc flu hosp","09",3,2024-11-02,NA,10
"wk inc flu hosp","11",0,2024-11-02,NA,1
"wk inc flu hosp","11",1,2024-11-02,NA,1
"wk inc flu hosp","11",2,2024-11-02,NA,1
"wk inc flu hosp","11",3,2024-11-02,NA,1
"wk inc flu hosp","10",0,2024-11-02,NA,0
"wk inc flu hosp","10",1,2024-11-02,NA,0
"wk inc flu hosp","10",2,2024-11-02,NA,0
"wk inc flu hosp","10",3,2024-11-02,NA,0
"wk inc flu hosp","12",0,2024-11-02,NA,110
"wk inc flu hosp","12",1,2024-11-02,NA,110
"wk inc flu hosp","12",2,2024-11-02,NA,110
"wk inc flu hosp","12",3,2024-11-02,NA,110
"wk inc flu hosp","13",0,2024-11-02,NA,14
"wk inc flu hosp","13",1,2024-11-02,NA,14
"wk inc flu hosp","13",2,2024-11-02,NA,14
"wk inc flu hosp","13",3,2024-11-02,NA,14
"wk inc flu hosp","15",0,2024-11-02,NA,3
"wk inc flu hosp","15",1,2024-11-02,NA,3
"wk inc flu hosp","15",2,2024-11-02,NA,3
"wk inc flu hosp","15",3,2024-11-02,NA,3
"wk inc flu hosp","19",0,2024-11-02,NA,5
"wk inc flu hosp","19",1,2024-11-02,NA,5
"wk inc flu hosp","19",2,2024-11-02,NA,5
"wk inc flu hosp","19",3,2024-11-02,NA,5
"wk inc flu hosp","16",0,2024-11-02,NA,6
"wk inc flu hosp","16",1,2024-11-02,NA,6
"wk inc flu hosp","16",2,2024-11-02,NA,6
"wk inc flu hosp","16",3,2024-11-02,NA,6
"wk inc flu hosp","17",0,2024-11-02,NA,27
"wk inc flu hosp","17",1,2024-11-02,NA,27
"wk inc flu hosp","17",2,2024-11-02,NA,27
"wk inc flu hosp","17",3,2024-11-02,NA,27
"wk inc flu hosp","18",0,2024-11-02,NA,14
"wk inc flu hosp","18",1,2024-11-02,NA,14
"wk inc flu hosp","18",2,2024-11-02,NA,14
"wk inc flu hosp","18",3,2024-11-02,NA,14
"wk inc flu hosp","20",0,2024-11-02,NA,10
"wk inc flu hosp","20",1,2024-11-02,NA,10
"wk inc flu hosp","20",2,2024-11-02,NA,10
"wk inc flu hosp","20",3,2024-11-02,NA,10
"wk inc flu hosp","21",0,2024-11-02,NA,7
"wk inc flu hosp","21",1,2024-11-02,NA,7
