"location","horizon","target_end_date","reference_date","target","output_type","output_type_id","value"
"01",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.01",20.8855448480529
"01",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.025",25.1107065719339
"01",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.05",29.6576857698489
"01",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.1",35.300007062628
"01",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.15",40.5354349969339
"01",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.2",43.2815685079461
"01",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.25",45.2493636421518
"01",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.3",47.6606914734366
"01",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.35",49.2876692338936
"01",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.4",50.8332094400071
"01",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.45",52.3028700876245
"01",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.5",54.5226960365312
"01",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.55",56.673855927408
"01",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.6",58.6190000284767
"01",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.65",61.7817628251285
"01",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.7",64.569158408551
"01",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.75",68.8340615718091
"01",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.8",73.1106751367879
"01",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.85",78.4516964692673
"01",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.9",85.2390467540785
"01",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.95",98.8177705777435
"01",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.975",104.292139453693
"01",0,2024-11-23,2024-11-23,"wk inc flu hosp","quantile","0.99",121.978733326011
"01",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.01",18.017238815724
"01",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.025",22.9264919255659
"01",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.05",28.2387700113349
"01",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.1",35.6802681468436
"01",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.15",41.5755282027303
"01",1,2024-11-30,2024-11-23,"wk inc flu hosp","quantile","0.2",46.7899335753701
